timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,rot_w,rot_x,rot_y,rot_z
2371920000000,0.028899193,-0.073198795,0.16558743,0.00580322,-0.003970624,0.0013744468,0.7204322,-0.07668706,0.67271394,-0.15017505
2371940000000,0.051483154,-0.08513832,0.14054006,0.022602014,-0.005955936,0.0016798794,0.7205238,-0.076484,0.6725936,-0.15037823
2371960000000,0.076272964,-0.040981054,0.13134587,0.03191771,-0.01160644,-0.0013744468,0.7206627,-0.076303296,0.6724078,-0.15063496
2371980000000,0.07438564,-0.05170989,0.098965466,0.030543262,-0.021533,-0.0096211275,0.7208563,-0.076260775,0.67214483,-0.15090315
2372000000000,0.09580898,-0.050559044,0.059611082,0.024281893,-0.03268129,-0.019394971,0.7210939,-0.076340735,0.671813,-0.15120523
2372020000000,0.082772255,-0.0018146038,-0.0046035647,0.019700404,-0.04046982,-0.029474247,0.72134626,-0.076499596,0.6714477,-0.15154357
2372040000000,0.08866215,0.051592827,-0.062262654,0.018784106,-0.043218717,-0.034972034,0.7215878,-0.07666912,0.67108893,-0.15189669
2372060000000,0.10043526,0.08601451,-0.112274766,0.01863139,-0.040927973,-0.03680463,0.7218016,-0.07684192,0.6707576,-0.15225685
2372080000000,0.086886406,0.11437631,-0.14660972,0.01863139,-0.035888333,-0.035124753,0.7219749,-0.07696782,0.67048144,-0.15258741
2372100000000,0.092990875,0.14091897,-0.17565376,0.01786781,-0.028863383,-0.030543262,0.7221049,-0.07707127,0.6702678,-0.15285808
2372120000000,0.067391396,0.1512227,-0.18048239,0.012217305,-0.02076942,-0.02397646,0.7221804,-0.07716006,0.6701354,-0.15303732
2372140000000,0.06335926,0.18231511,-0.15790153,0.0050396384,-0.012980887,-0.01695151,0.7222178,-0.07725122,0.67006785,-0.15311079
2372160000000,0.032586098,0.1710062,-0.1337893,-0.006414085,-0.0076358155,-0.009010263,0.72222036,-0.07737651,0.6700677,-0.15303586
2372180000000,0.026256561,0.14917779,-0.09663874,-0.019700404,-0.0015271631,-0.0009162979,0.72219163,-0.077525675,0.67012924,-0.15282632
2372200000000,0.021220207,0.15613174,-0.07363403,-0.028710667,0.0025961774,0.005955936,0.72215253,-0.07767856,0.67022103,-0.15253071
2372220000000,0.030755043,0.12602282,-0.03214705,-0.03756821,0.0035124752,0.012064588,0.7221197,-0.077894315,0.6703254,-0.15211718
2372240000000,0.036981583,0.0683043,0.0033063293,-0.04810564,0.0036651916,0.015882496,0.7220861,-0.078149386,0.67044175,-0.15163209
2372260000000,0.039497375,0.03778577,0.041935563,-0.055741455,0.0018325958,0.01863139,0.7220758,-0.07845778,0.67054194,-0.15107751
2372280000000,0.08018398,-0.0029017925,0.082987666,-0.057726767,0.00015271631,0.019394971,0.7220589,-0.07873712,0.6706438,-0.15055989
2372300000000,0.09626579,-0.06892109,0.09475505,-0.055283304,0.001985312,0.018020526,0.72203076,-0.07899247,0.6707458,-0.15010649
2372320000000,0.10460663,-0.081558704,0.11590123,-0.04550946,0.004886922,0.017562376,0.72198105,-0.07916881,0.6708585,-0.14974841
2372340000000,0.09177017,-0.07961106,0.117547214,-0.03772093,0.0096211275,0.012980887,0.7219056,-0.079354845,0.6709836,-0.14945267
2372360000000,0.06204033,-0.10129428,0.091460586,-0.037873644,0.0076358155,0.008093964,0.7218625,-0.079586804,0.6710626,-0.14918286
2372380000000,0.08126831,-0.114827156,0.108701885,-0.034055736,0.0032070426,0.0050396384,0.7218155,-0.07977982,0.67113495,-0.14898117
2372400000000,0.087682724,-0.11831665,0.11707693,-0.02076942,0.0125227375,0.0036651916,0.7216922,-0.07980676,0.671276,-0.14892891
2372420000000,0.07509136,-0.10510731,0.14391774,0.0013744468,0.022602014,0.0038179078,0.7215631,-0.07967342,0.6714118,-0.14901355
2372440000000,0.079250336,-0.059866905,0.10462439,0.017104227,0.02275473,0.0041233404,0.72144365,-0.07947576,0.67153084,-0.14916116
2372460000000,0.028962135,-0.045820475,0.07013744,0.018936822,0.020922136,0.00061086525,0.7213432,-0.07934507,0.67162234,-0.14930417
2372480000000,0.04186344,-0.02837801,0.08185214,0.01572978,0.013133603,-0.0016798794,0.7212979,-0.07923582,0.6716559,-0.14943023
2372500000000,0.06466961,-0.013341427,0.076153815,0.016493361,0.008857546,-0.0009162979,0.7212616,-0.07909758,0.6716818,-0.1495619
2372520000000,0.05815506,-0.009767294,0.049546003,0.022907447,0.00992656,-0.00045814895,0.72120994,-0.07889066,0.67171365,-0.1497775
2372540000000,0.042432785,-0.006588936,0.03800732,0.032223143,0.011453724,-0.0032070426,0.72116375,-0.0786623,0.6717297,-0.15004767
2372560000000,0.050457,0.03891325,0.019314587,0.036193766,0.009315695,-0.006414085,0.72113425,-0.07845349,0.6717188,-0.1503473
2372580000000,0.027763367,0.028460026,-0.018803298,0.030543262,0.004581489,-0.009468411,0.7211238,-0.078347325,0.6716886,-0.15058734
2372600000000,0.009155273,0.0573678,-0.04120475,0.02397646,0.00076358154,-0.010537425,0.7211299,-0.078258164,0.6716441,-0.15080327
2372620000000,0.016248703,0.034774065,-0.03865248,0.020616703,-0.0015271631,-0.009773844,0.72113776,-0.078169376,0.671602,-0.1509989
2372640000000,0.025301933,0.072548866,-0.04337436,0.015118915,-0.00015271631,-0.0071776668,0.72113204,-0.07806512,0.67158014,-0.15117736
2372660000000,0.01930523,0.07334113,-0.08736569,0.0033597588,0.00030543262,-0.0071776668,0.72112316,-0.07803855,0.6715683,-0.15128624
2372680000000,0.0164814,0.07563901,-0.06622952,-0.009468411,-0.00870483,-0.005497787,0.7211249,-0.07809987,0.67155564,-0.1513024
2372700000000,0.051579475,0.1315136,-0.070160866,-0.027794369,-0.00992656,-0.007330383,0.7211769,-0.07829537,0.671502,-0.15119126
2372720000000,0.07426739,0.09947419,-0.071725845,-0.0346666,-0.0070249503,-0.007330383,0.7211926,-0.07860406,0.6714903,-0.15100797
2372740000000,0.042782784,0.075325966,-0.06137246,-0.03268129,-0.005497787,-0.0015271631,0.72119874,-0.07889718,0.67149717,-0.15079527
2372760000000,0.019771576,0.09223986,-0.049590766,-0.036957346,-0.0038179078,0.0061086523,0.721201,-0.07912417,0.6715248,-0.15054198
2372780000000,0.014659882,0.050179005,-0.05098629,-0.03772093,-0.0021380284,0.013897184,0.7212068,-0.07933425,0.6715712,-0.15019666
2372800000000,0.027261734,-0.0186975,0.0037605762,-0.029932396,0.0041233404,0.018936822,0.7212001,-0.0794627,0.6716411,-0.14984785
2372820000000,0.028250694,-0.023944616,0.051379442,-0.024281893,0.0071776668,0.021838432,0.7211693,-0.07950679,0.6717396,-0.14953113
2372840000000,0.04442978,-0.032455683,0.07266569,-0.020158553,0.00580322,0.020158553,0.72114336,-0.079505615,0.67183214,-0.14924043
2372860000000,0.053774834,-0.0616827,0.10498881,-0.018325957,0.0035124752,0.016493361,0.7211344,-0.07952465,0.67189384,-0.14899549
2372880000000,0.053069115,-0.04804659,0.12223053,-0.018784106,-0.00076358154,0.012064588,0.72114164,-0.07955943,0.6719284,-0.14878577
2372900000000,0.055412292,-0.0572865,0.14105433,-0.016646078,-0.0056505036,0.007941248,0.72117895,-0.07965117,0.67192024,-0.148593
2372920000000,0.092980385,-0.08849335,0.13103324,-0.0096211275,-0.0061086523,0.005497787,0.7212348,-0.07972492,0.6718798,-0.1484653
2372940000000,0.06865978,-0.07959962,0.12559986,-0.0021380284,-0.0047342055,0.0035124752,0.7212829,-0.07974777,0.67183876,-0.148405
2372960000000,0.068330765,-0.075596094,0.08549869,0.004428773,-0.005192355,0.00061086525,0.72132236,-0.07973793,0.67179435,-0.1484197
2372980000000,0.06572533,-0.062173605,0.070929706,0.012980887,-0.0047342055,-0.0013744468,0.7213714,-0.07969324,0.6717322,-0.14848647
2373000000000,0.0670166,-0.04723525,0.04139793,0.019089539,-0.00290161,-0.0018325958,0.7214131,-0.079593875,0.6716693,-0.14862165
2373020000000,0.07973957,-0.00082564354,0.048662484,0.021685716,-0.001985312,-0.0012217305,0.7214434,-0.07945871,0.671618,-0.1487784
2373040000000,0.07721996,0.006105423,0.028384566,0.025503624,-0.0,-0.0010690142,0.72146994,-0.079300426,0.6715709,-0.14894688
2373060000000,0.055070877,0.0151023865,0.021393597,0.029626964,0.0061086523,-0.0009162979,0.72147965,-0.07911546,0.67154133,-0.14913155
2373080000000,0.022370338,0.026290417,0.0076705217,0.029932396,0.007788532,0.0021380284,0.72145134,-0.07887193,0.6715537,-0.14934155
2373100000000,0.027604103,0.04438448,-0.015340388,0.025045475,0.0036651916,0.003970624,0.7214365,-0.07865253,0.6715636,-0.14948383
2373120000000,0.006047249,0.06460786,-0.025339246,0.016646078,-0.00076358154,0.003970624,0.72145313,-0.078462675,0.6715434,-0.14959414
2373140000000,0.018559456,0.070109844,-0.008771837,0.007941248,-0.004581489,0.0027488936,0.72148836,-0.07835358,0.6715075,-0.14964306
2373160000000,0.031161308,0.04169321,-0.029141545,0.00015271631,-0.0065668016,0.0013744468,0.721534,-0.07832234,0.6714615,-0.14964558
2373180000000,0.0756731,0.08041978,-0.03920257,-0.0062613687,-0.0070249503,0.0,0.7215777,-0.078352235,0.67141956,-0.14960754
2373200000000,0.067453384,0.051319838,-0.05413276,-0.010231993,-0.0056505036,0.00076358154,0.72161496,-0.0784277,0.67138755,-0.14953195
2373220000000,0.03950405,0.05761218,-0.037107587,-0.014049901,-0.0038179078,0.0016798794,0.7216323,-0.07850826,0.67138004,-0.14943941
2373240000000,0.039826393,0.06269145,-0.07016003,-0.018784106,-0.007788532,0.0047342055,0.72165084,-0.07860714,0.67138,-0.14929828
2373260000000,0.060539246,0.045162916,-0.019226968,-0.018478673,-0.0038179078,0.0062613687,0.72170323,-0.07872651,0.6713509,-0.14911279
2373280000000,0.07096577,0.033446074,-0.014522731,-0.011148291,0.007483099,0.0062613687,0.72167814,-0.07878689,0.671405,-0.14895898
2373300000000,0.0681324,0.007387638,0.002009213,-0.008093964,0.007941248,0.006414085,0.72161853,-0.078778245,0.6714887,-0.1488747
2373320000000,0.088731766,0.015754938,0.01598972,-0.0143553335,0.00580322,0.0041233404,0.72157204,-0.078806356,0.67155755,-0.14877464
2373340000000,0.06509018,-0.013134241,0.026067495,-0.018020526,0.002443461,0.0016798794,0.721538,-0.078907415,0.67161036,-0.1486477
2373360000000,0.033634186,-0.013710976,0.041446984,-0.021685716,-0.0012217305,0.0025961774,0.72152585,-0.07904331,0.67163825,-0.14850833
2373380000000,0.047787666,-0.029259682,0.07488245,-0.020005837,-0.0030543262,0.002443461,0.7215388,-0.07918834,0.67164415,-0.14834183
2373400000000,0.0581007,-0.062455177,0.066598296,-0.013744468,-0.00061086525,-0.0021380284,0.72154576,-0.07931482,0.6716462,-0.14823085
