timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,rot_w,rot_x,rot_y,rot_z
1661340000000,-29.017658,-17.14032,12.147057,0.0,0.0,0.0,0.7659612,-0.08519511,0.45145625,-0.44970256
1661360000000,-24.194862,-15.551855,8.387779,3.1513011,-5.4870973,-6.4284406,0.7574086,-0.117879584,0.39183182,-0.5088265
1661380000000,-19.861975,-13.298181,2.3932166,4.2847614,-5.868277,-5.454263,0.7508628,-0.14208551,0.3207614,-0.5595792
1661400000000,-16.769659,-10.305755,-5.546151,5.890726,-6.588487,-4.090201,0.746994,-0.15215984,0.23906216,-0.60141224
1661420000000,-16.011675,-7.947441,-12.066813,6.994407,-7.6949167,-2.6151142,0.75092465,-0.15269844,0.1388609,-0.6273061
1661440000000,-15.306304,-5.117819,-20.352116,6.618725,-7.9473567,-1.1184943,0.75725293,-0.15115824,0.031296644,-0.6346177
1661460000000,-15.081947,-2.759356,-23.858171,4.613407,-7.988132,-0.12568553,0.7620129,-0.15764119,-0.06637689,-0.62456363
1661480000000,-12.493052,-3.886846,-24.634777,3.4956763,-6.7286806,0.45097128,0.76129884,-0.17841864,-0.14475866,-0.6063298
1661500000000,-11.934327,-8.141091,-26.715107,4.6390634,-4.9637384,1.0848967,0.7629352,-0.18402308,-0.21006358,-0.5830427
1661520000000,-14.632486,-4.255274,-24.730164,4.097226,-4.0257545,1.8290832,0.77064085,-0.17468654,-0.2670092,-0.5516371
1661540000000,-12.46874,-1.53376,-19.375454,1.8257235,-3.3426547,1.3584116,0.7747414,-0.17673936,-0.30854917,-0.52281594
1661560000000,-9.655228,-3.2600229,-13.858088,1.5367843,-2.275473,0.89369583,0.77312064,-0.18610492,-0.33324695,-0.5065531
1661580000000,-7.77701,-2.3755279,-10.494894,3.0697505,-1.6771306,0.9558514,0.7748772,-0.18141022,-0.35698706,-0.4890971
1661600000000,-5.943715,1.3028142,-10.936079,3.3942728,-1.2341005,0.7330383,0.78183645,-0.16150905,-0.38456988,-0.4634143
1661620000000,-6.082527,4.8763113,-10.0198965,1.5406022,-1.0206031,0.26893342,0.7838554,-0.14692728,-0.40487075,-0.44728383
1661640000000,-4.9721656,4.074726,-8.148943,-0.5884159,-0.8313876,-0.20326541,0.78175914,-0.14750852,-0.413852,-0.4425161
1661660000000,-3.345014,1.913922,-5.5713687,-1.3558154,-0.6974554,-0.4005749,0.77489984,-0.15990777,-0.41429123,-0.44980288
1661680000000,-1.59589,1.7252153,-4.129321,-1.0447323,-0.37003163,-0.47219884,0.76960737,-0.16928326,-0.41407868,-0.45561683
1661700000000,-1.761056,2.0582328,-3.626426,-0.74174315,-0.15134187,-0.27931812,0.76544183,-0.17491397,-0.4126338,-0.4617761
1661720000000,-1.3586707,2.036409,-3.169517,-0.58551437,0.07284568,-0.18906279,0.7647274,-0.1776686,-0.41113925,-0.46323925
1661740000000,-1.0947928,1.3823524,-2.611743,-0.47555858,0.3080288,-0.082619525,0.7639672,-0.18010311,-0.4073766,-0.46686327
1661760000000,-0.9578066,0.83409405,-1.7351785,-0.3483459,0.4259258,-0.049938235,0.76616114,-0.1798216,-0.40321985,-0.4669851
1661780000000,-0.6181488,0.91036105,-0.7531667,-0.3733914,0.52458054,-0.003970624,0.76726216,-0.1797433,-0.39817002,-0.4695336
1661800000000,-0.70122194,0.36621082,-0.17597055,-0.37766743,0.50701815,0.064599,0.7701196,-0.17948131,-0.39253083,-0.46970418
1661820000000,-0.6231737,-0.09829259,0.4069972,-0.18280143,0.48579058,0.10308351,0.77193755,-0.17982432,-0.38719907,-0.47101212
1661840000000,-0.44877768,0.026629686,0.33224583,-0.021991149,0.5175556,0.107665,0.7753848,-0.17752896,-0.38329637,-0.4694102
1661860000000,-0.44193077,0.27037072,0.41559935,-0.05497787,0.5145013,0.1337795,0.7810179,-0.174023,-0.37441394,-0.4685522
1661880000000,-0.36625957,-0.082754314,0.5539551,-0.24113905,0.51083606,0.15042557,0.7830178,-0.1750344,-0.36855158,-0.46948484
1661900000000,-0.53476,-0.6353021,0.3662591,-0.38637227,0.4821254,0.18585575,0.78520256,-0.17667009,-0.36270854,-0.4697736
1661920000000,-0.7561822,-0.768011,-0.05027294,-0.31230485,0.45540005,0.24694228,0.7877095,-0.17712861,-0.35762206,-0.46930343
1661940000000,-1.2793717,-0.9504527,-0.39891243,-0.12583824,0.48762318,0.257327,0.79071766,-0.17589302,-0.35303473,-0.46818128
1661960000000,-1.1734529,-1.0826032,-0.38275242,-0.0012217305,0.50915617,0.20906863,0.79332685,-0.17350194,-0.34896347,-0.46771175
1661980000000,-0.9921546,-1.022302,-0.95234776,0.11056661,0.5476407,0.07574729,0.7958294,-0.16939548,-0.34483597,-0.46802652
1662000000000,-1.4374881,-1.0785463,-1.583672,0.19226983,0.6965391,0.007330383,0.7987753,-0.16389072,-0.33975554,-0.46868348
1662020000000,-1.8033233,-1.459976,-1.9484601,0.26206118,0.8135198,-0.06414085,0.8016411,-0.15687416,-0.33449295,-0.46997496
1662040000000,-2.3244653,-1.6208205,-2.4741745,0.40118575,0.9140071,-0.18768835,0.8044587,-0.14732258,-0.32942694,-0.4718265
1662060000000,0.0,0.0,0.0,0.61621034,1.0202976,-0.33505958,1.0,0.0,0.0,0.0
