timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,rot_w,rot_x,rot_y,rot_z
1619860000000,-22.299185,-14.76947,-2.3640366,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1619900000000,-20.972183,-11.416929,-8.591965,9.530108,-7.4388113,-1.0957395,1.0,0.0,0.0,0.0
1619920000000,-19.465036,-9.915634,-11.808305,7.1837754,-6.961115,0.5279403,0.7565285,-0.06236428,-0.057970993,-0.648394
1619940000000,-21.46072,-7.677727,-13.409547,3.5436292,-7.165144,1.6836973,0.7613784,-0.06798326,-0.14044526,-0.6292506
1619960000000,-25.582329,-11.378471,-14.876898,0.0,0.0,0.0,0.7611747,-0.104523174,-0.21263225,-0.6037182
1619980000000,-23.87767,-15.929577,-17.889826,2.8098273,-8.085871,1.8654298,0.75312984,-0.1446205,-0.29203406,-0.57148635
1620000000000,0.0,0.0,0.0,2.6288586,-5.7348027,1.365742,1.0,0.0,0.0,0.0
1620020000000,-20.540377,-9.595002,-23.553053,0.0,0.0,0.0,0.739207,-0.17735325,-0.40211126,-0.51031893
1620040000000,0.0,0.0,0.0,-0.74174315,-3.136335,0.5122105,1.0,0.0,0.0,0.0
1620060000000,-11.242664,-1.5026197,-18.348095,-1.6281086,-2.1523838,-0.48426342,0.7174258,-0.21951549,-0.4396992,-0.49373865
1620080000000,0.0,0.0,0.0,0.0,0.0,0.0,0.70297474,-0.2320104,-0.4472319,-0.50197744
1620100000000,-2.6269665,3.1601326,-9.313744,2.4020748,-0.5581781,-0.9512699,1.0,0.0,0.0,0.0
1620120000000,0.9512024,6.9852505,-9.080397,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1620140000000,-1.5359507,5.4242525,-7.0118,0.8445212,0.41706824,0.047494773,1.0,0.0,0.0,0.0
1620160000000,-3.2760992,2.6980908,-4.485313,0.8017606,0.33933565,0.124005646,0.7112659,-0.17580895,-0.4868049,-0.47561866
1620180000000,-3.1780148,0.89936066,-3.0433798,0.80649483,0.3463606,0.09193522,1.0,0.0,0.0,0.0
1620200000000,-2.3309999,0.744025,-1.7377095,0.68539083,0.4092797,-0.06612616,0.7210596,-0.15939513,-0.48999953,-0.46321344
1620220000000,-1.35639,0.9929414,-1.3440285,0.44822237,0.52503866,-0.19394971,0.7264626,-0.14981061,-0.49037418,-0.45753923
1620240000000,-0.9905076,0.95411587,-1.0392137,0.18112154,0.64736444,-0.24281894,0.7287912,-0.14382076,-0.48763013,-0.45868927
1620260000000,-1.043222,0.19677138,-0.37126398,0.17959438,0.58200186,-0.32528573,0.73380435,-0.13629764,-0.48435614,-0.45645726
