timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,rot_w,rot_x,rot_y,rot_z
1647740000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1648300000000,-77.90443,-30.834244,-21.951107,0.0,0.0,0.0,0.8856695,-0.43522832,0.052642487,-0.15295333
1648320000000,19.0422,-28.867012,-10.461308,1.5337299,-10.125702,9.829738,0.8706745,-0.48832735,-0.015516504,-0.05676012
1648340000000,25.70303,-23.670664,-4.262413,-4.953048,-3.8676932,-0.98822725,0.85831857,-0.49261352,-0.023140376,-0.14172426
1648360000000,-20.563124,-4.5730176,0.22316933,-0.7451029,4.3175955,-4.2018366,0.86571956,-0.47196603,-0.012976484,-0.16616058
1648380000000,-14.701441,18.025406,-3.0148625,6.9272118,-0.7325801,-0.68111473,0.9065638,-0.3893391,-0.035975598,-0.15894318
1648400000000,-1.4635192,14.271929,-6.153063,6.64881,-0.026267206,1.2910637,0.92001116,-0.36649463,-0.03164116,-0.13512956
1648420000000,4.9520025,-3.8072653,0.393229,-2.0329595,-0.7677049,2.2559254,0.90038323,-0.4165828,-0.02646424,-0.122754164
1648440000000,-0.98740673,-12.476382,3.2607503,-3.8026361,0.14752395,-0.27214047,0.8908096,-0.4326828,-0.02313173,-0.13678007
1648460000000,-3.9762206,-3.4116197,1.2173171,0.20265454,0.3211624,-0.6945538,0.89777946,-0.41596746,-0.025823522,-0.14246508
1648480000000,-2.3017054,2.0957303,-0.94078207,1.8764253,-0.08964448,-0.23075435,0.9042853,-0.40113884,-0.03037085,-0.14294529
1648500000000,-2.2174194,2.7602787,-0.907115,0.66981375,-0.14569137,-0.39904773,0.90241706,-0.4025114,-0.03189643,-0.15036881
1648520000000,-4.052368,2.278719,0.2143817,-0.5027421,0.08353582,-0.5729916,0.89848965,-0.4091777,-0.030338567,-0.15610737
1648540000000,-2.5424125,1.5507436,1.0884147,-0.77472985,0.19746219,-0.3313944,0.89698094,-0.41215998,-0.022309346,-0.15827736
1648560000000,-0.1671145,0.3777361,1.0109649,-0.43860126,-0.057268616,-0.010231993,0.89704174,-0.41197413,-0.02276108,-0.1583522
1648580000000,-1.2459332,1.1290193,0.49718332,0.32803464,0.15332718,-0.22770002,0.8986768,-0.40631834,-0.02063152,-0.16388921
1648600000000,-1.7283987,1.9466138,0.93293095,0.37965274,0.22036964,-0.15897769,0.8998683,-0.40328553,-0.019818665,-0.16493925
1648620000000,-1.1410948,0.9131012,0.8112755,0.09682214,0.03604105,-0.08857546,0.90573317,-0.3906921,-0.007207965,-0.16417995
1648640000000,-1.383458,0.48182726,1.0344133,0.010079277,0.019547688,-0.07788532,0.9068247,-0.38815355,-0.0055685295,-0.16423991
1648660000000,-1.6327133,1.137269,0.41462946,0.27412578,0.013591751,-0.058490347,0.9084439,-0.38344315,-0.004190174,-0.16638356
1648680000000,-1.2650256,1.2729874,-0.0332222,0.42943826,-0.052839845,0.035430185,0.91003776,-0.380157,-0.005555436,-0.16516985
1648700000000,-0.99233496,0.80471563,0.08066082,0.26160303,-0.16462818,0.064751714,0.9103604,-0.37874308,-0.005835557,-0.16662398
1648720000000,-1.110156,0.57800007,0.052858353,0.12492194,-0.1470658,0.02565634,0.91097254,-0.37771514,-0.00602725,-0.16560167
