timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,rot_w,rot_x,rot_y,rot_z
245502400000000,0.0,0.0,0.0,-0.057421334,0.20357084,-0.43875396,1.0,0.0,0.0,0.0
245515840000000,0.0,0.0,0.0,-0.7099781,-0.33292156,0.8063421,1.0,0.0,0.0,0.0
245515860000000,-0.29402637,-1.3846011,-1.5953841,0.0,0.0,0.0,0.6416127,0.30376455,0.5921067,-0.3814052
245515880000000,-0.25233746,-2.1975985,-1.0151954,-1.9472857,-0.34804046,0.35246924,0.64982194,0.29330394,0.59599084,-0.36945814
245515900000000,-0.09255791,-2.8268013,-0.6147897,-1.9042196,-0.3894266,0.14431691,0.6580624,0.2798989,0.6006159,-0.3575906
245515920000000,0.0,0.0,0.0,-1.6742289,-0.3903429,-0.004276057,0.66073525,0.2609394,0.6088909,-0.35297534
245515940000000,0.6288147,-2.117381,-0.69540703,-1.4456125,-0.35369098,-0.11026118,0.6619893,0.24323903,0.61658293,-0.34990072
245515960000000,0.7280855,-2.0685887,-0.8251263,-1.1429288,-0.2790127,-0.17195857,0.66361123,0.22908185,0.62223196,-0.3463655
245515980000000,0.71182346,-2.045323,-0.86084926,-0.70234233,-0.19883664,-0.17119499,1.0,0.0,0.0,0.0
245516000000000,0.6453304,-1.8736806,-0.84918433,-0.21029036,-0.10873401,-0.12370021,0.65902704,0.20616728,0.6337211,-0.34867737
245516020000000,0.59124374,-1.6432302,-0.76264244,0.2405282,-0.013286319,-0.06001751,0.6547547,0.20076777,0.6374023,-0.35313845
245516040000000,0.55500317,-1.4113836,-0.6831331,0.6232353,0.07040222,0.005497787,0.65055233,0.20019606,0.6389122,-0.35846135
245516060000000,0.5753317,-1.2386438,-0.6467968,0.92011577,0.14508049,0.06856962,0.646697,0.20396473,0.63835734,-0.3642544
245516080000000,0.66623974,-1.129775,-0.6744689,1.1145236,0.22296582,0.10598512,0.6429717,0.21095276,0.6363481,-0.3703342
245516100000000,0.7071705,-1.1327484,-0.68807137,1.2315043,0.27840182,0.11285736,0.6386353,0.2195321,0.63393986,-0.376923
245516120000000,0.77180386,-1.1735902,-0.61277294,1.2777774,0.29917124,0.046731193,1.0,0.0,0.0,0.0
245516140000000,0.7991438,-1.2021545,-0.54797655,1.2560917,0.3277292,-0.0729984,0.62851095,0.23765555,0.6285729,-0.39165038
245516160000000,0.6504097,-1.240072,-0.5289259,1.1519392,0.3483459,-0.24022275,0.62176794,0.24456176,0.6272263,-0.40022653
245516180000000,0.3079319,-1.0742326,-0.4328326,1.0894781,0.3462079,-0.3849978,0.6097778,0.24518359,0.63089836,-0.41233888
245516200000000,0.030761719,-1.0285773,-0.35136715,1.1090258,0.30604348,-0.52564955,0.6030545,0.25024313,0.6295944,-0.4210873
245516220000000,-0.14567184,-0.9659076,-0.34905463,1.1890492,0.27916542,-0.66706485,0.59586483,0.25460124,0.6279916,-0.430987
245516240000000,-0.3808174,-0.92188644,-0.3878685,1.3054191,0.2733622,-0.79045963,0.5878498,0.2585274,0.6261226,-0.4422292
245516260000000,-0.73677254,-0.81048155,-0.46855414,1.45615,0.2527455,-0.8712466,0.578916,0.26248014,0.6237423,-0.45486918
245516280000000,-0.9536629,-0.4970765,-0.5102345,1.574047,0.21563543,-0.9210321,0.56931156,0.2666865,0.62051207,-0.4687511
245516300000000,-1.0949669,-0.088127375,-0.5888214,1.6061175,0.1910481,-0.9753991,0.55927366,0.27084365,0.61659855,-0.4833869
245516320000000,-1.2419281,0.21137571,-0.64778537,1.5972599,0.17379116,-1.0253373,0.54885817,0.2745248,0.6124717,-0.49826625
245516340000000,-1.3800716,0.40510297,-0.71369535,1.6094772,0.13103059,-1.0636691,0.53820056,0.27766043,0.6081572,-0.513215
245516360000000,-1.3941431,0.6599436,-0.8091096,1.6310102,0.07620544,-1.0986412,0.52744687,0.28032893,0.60335237,-0.52837634
245516380000000,-1.3465195,0.94370794,-0.91235995,1.645671,0.026572637,-1.1381947,0.51656055,0.28250566,0.5980303,-0.5437973
245516400000000,-1.3008099,1.245089,-0.9915024,1.6603317,-0.022602014,-1.1833987,0.5055492,0.28420383,0.59227735,-0.5593352
245516420000000,-1.247982,1.5661077,-1.0633698,1.6589572,-0.06536258,-1.2324207,0.49446788,0.28556114,0.5861749,-0.5747654
245516440000000,-1.2400551,1.9055738,-1.1644568,1.6360499,-0.112704635,-1.2759448,0.4835347,0.2868572,0.57988715,-0.5896083
245516460000000,-1.161006,2.1855745,-1.2701201,1.5642731,-0.1742493,-1.3002267,0.47381732,0.28959823,0.57367235,-0.60210466
245516480000000,-0.7887354,2.1477585,-1.0082183,1.4480561,-0.25030205,-1.3187053,0.47178593,0.30417737,0.56779486,-0.6020824
245516500000000,-0.67906094,2.239988,-0.96995914,1.3037392,-0.23976462,-1.3147347,0.4668018,0.31167948,0.561913,-0.6076231
245516520000000,-0.6926117,2.22997,-1.014524,1.0774136,-0.29825497,-1.2716687,0.46468866,0.32337874,0.5572766,-0.6073989
245516540000000,-0.6396923,2.5650916,-1.2702398,0.77564615,-0.34681875,-1.1870639,0.46000624,0.3265262,0.5537672,-0.6124678
245516560000000,-0.5331049,2.8767142,-1.5727952,0.37568212,-0.3013093,-1.082606,0.45413178,0.32347107,0.5520478,-0.6199791
245516580000000,-0.5898771,3.1293552,-1.7789723,-0.089186326,-0.20845777,-0.91522884,0.44995832,0.31965807,0.5529849,-0.62415075
245516600000000,-0.6397257,3.1769342,-1.6128608,-0.52778757,-0.14340061,-0.6942484,0.44824696,0.31554556,0.55649924,-0.6243511
245516620000000,-0.44019413,3.0751736,-1.2827461,-0.84039783,-0.0852157,-0.41599923,0.4479078,0.30912814,0.561916,-0.6229517
245516640000000,-0.036597252,2.9373565,-0.7513793,-0.9989174,0.03176499,-0.1244638,0.44913864,0.3031661,0.56838065,-0.6191189
245516660000000,0.5738239,2.7396388,-0.509092,-1.0471758,0.11728613,0.14263703,0.45184326,0.29887512,0.5750337,-0.6130641
245516680000000,1.0938668,2.3628385,-0.529482,-1.0051788,0.29901853,0.38820487,0.4554327,0.29668525,0.58147496,-0.6053477
245516700000000,1.2143931,1.9745479,-0.4097321,-0.8434522,0.4999932,0.59864795,0.4589178,0.29738364,0.5875492,-0.5964423
245516720000000,0.90532875,1.6653767,-0.29907006,-0.59773165,0.6826419,0.8410087,0.4618274,0.30147254,0.5925719,-0.5871016
245516740000000,0.43130112,1.3589418,-0.10949719,-0.32513303,0.8022188,1.1136073,0.46446943,0.30909532,0.59595764,-0.5775489
245516760000000,-0.08737755,0.8772621,0.17218739,0.01695151,0.88621277,1.3978124,0.46718007,0.32032177,0.59710693,-0.567979
245516780000000,-0.66992664,0.27353287,0.46048975,0.4476115,0.9254609,1.7001907,0.46970564,0.33535093,0.5953352,-0.5590102
245516800000000,-1.0715952,-0.26077437,0.7197542,0.674548,0.84864455,1.8952094,0.47223836,0.35390183,0.5901483,-0.5508806
245516820000000,-1.4271164,-0.88676953,1.7235279,0.22907446,0.55741453,1.7803668,0.47592288,0.37208804,0.58351237,-0.5427349
245516840000000,-1.6029348,-1.1122472,2.4798257,-1.2435689,0.08933904,1.36788,0.4833868,0.38245186,0.5804788,-0.532083
245516860000000,-1.6049929,-1.4261727,1.9405414,-2.4798074,-0.29168814,1.0002918,0.49741733,0.3798116,0.58514893,-0.5156743
245516880000000,-1.5029154,-3.007156,1.288991,-2.5740335,-0.59437186,0.8739954,0.5143554,0.36949003,0.59312755,-0.4971069
245516900000000,-0.8469639,-3.2796822,1.0088242,-2.284636,-0.74220127,0.8900307,0.53165907,0.35848013,0.59841627,-0.48034233
245516920000000,-0.21896744,-2.6350431,0.9680686,-2.1276436,-0.6974554,0.76159626,0.5478576,0.34819192,0.60176635,-0.46528685
245516940000000,0.0,0.0,0.0,-1.7527251,-0.5920811,0.6976081,0.56193113,0.33800316,0.60503674,-0.45157257
245516960000000,0.19940853,-2.1752453,0.50160885,-1.0103711,-0.5102252,0.7267769,0.57269603,0.33016616,0.60651815,-0.44175264
