timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,rot_w,rot_x,rot_y,rot_z
1722600000000,-0.14213085,0.52690935,0.76482844,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1722640000000,0.0,0.0,0.0,0.0,0.0,0.0,0.3586405,0.4846487,0.49985552,-0.62180156
1722660000000,-0.22185612,-0.037027597,1.2036738,-0.1638646,0.40301836,0.33933565,0.36047632,0.48711938,0.50171316,-0.61729693
1722680000000,-0.09227085,-0.1359098,1.3047185,0.0,0.0,0.0,0.36103663,0.49051997,0.49985564,-0.6157816
1722700000000,-0.06394005,-0.15262055,1.3103824,0.53969944,0.4474588,0.42943826,0.3602741,0.49484,0.4950478,-0.61665535
1722720000000,0.0,0.0,0.0,0.7075347,0.42058071,0.46807548,0.3581558,0.5011294,0.4893658,-0.61734515
1722740000000,0.0,0.0,0.0,0.6779077,0.3846924,0.48334712,0.3567459,0.5065816,0.48194158,-0.6195481
1722760000000,0.052659035,0.06752753,1.2005469,0.46929723,0.3390302,0.46731192,0.35737726,0.5100488,0.47375995,-0.6226421
1722780000000,0.0,0.0,0.0,0.0,0.0,0.0,0.3576439,0.51410055,0.4695257,-0.6223641
1722800000000,-0.001996994,-0.4593115,1.2407241,0.27855456,0.18478674,0.44638976,0.3584968,0.5168556,0.465979,-0.6222571
1722820000000,0.07115269,-0.7196839,1.1057619,0.42210788,0.13652839,0.44028112,0.35880545,0.5189372,0.4619246,-0.6233688
1722840000000,0.16473198,-0.7413008,0.96515644,0.5627596,0.11377365,0.41263947,0.35810778,0.5215645,0.456939,-0.6252489
1722860000000,0.116285324,-0.7401662,0.7999741,0.0,0.0,0.0,0.35678285,0.5257691,0.45143953,-0.62647843
1722880000000,-0.005660057,-0.71410346,0.5785687,0.68218374,0.05375614,0.310625,0.35288835,0.5337981,0.44009432,-0.62995744
1722900000000,-0.005552292,-0.66226995,0.48595303,0.6748534,0.027183503,0.23991732,0.35057685,0.5369308,0.43501619,-0.63210934
1722920000000,0.04956436,-0.63463867,0.38739902,0.61590487,-0.010842858,0.15210545,0.34825912,0.5391043,0.4307591,-0.6344515
1722940000000,0.081279755,-0.6182153,0.26997262,0.53023106,-0.04932737,0.05681047,0.34597045,0.54028946,0.42749366,-0.6368995
1722960000000,0.0603714,-0.61009073,0.24366152,0.43967026,-0.08536842,-0.04184427,0.34365582,0.54054534,0.4251732,-0.6394836
1722980000000,0.06666279,-0.56448936,0.2005263,0.36545014,-0.11255192,-0.13591751,0.3411892,0.5400662,0.4236682,-0.6422022
1723000000000,0.010414124,-0.5088849,0.10885358,0.30466905,-0.12965615,-0.22586742,0.33855242,0.5389336,0.4229372,-0.64502484
1723020000000,-0.07753658,-0.40834022,0.0061118007,0.25396723,-0.1423316,-0.29917124,0.33576962,0.53734505,0.4227389,-0.64792824
1723040000000,-0.18846035,-0.29281008,-0.12225479,0.21303925,-0.15592335,-0.36147952,0.3329202,0.53521794,0.42310047,-0.6509163
1723060000000,-0.1864233,-0.16378188,-0.22193336,0.1601994,-0.17608191,-0.41340306,0.33017316,0.53257596,0.42399254,-0.65389514
1723080000000,-0.1426754,-0.006145239,-0.3182375,0.09773844,-0.19165897,-0.45723262,0.32754698,0.52943003,0.42551956,-0.6567724
